Ra,Va,Vw
0,inf,0.000000
10,282.121651,0.000327
20,199.330853,0.000653
30,162.623219,0.000980
40,140.723749,0.001306
50,125.767130,0.001633
60,114.718071,0.001959
70,106.124167,0.002286
80,99.191560,0.002612
90,93.444856,0.002939
100,88.579686,0.003265
110,84.390939,0.003592
120,80.734674,0.003918
130,77.506503,0.004245
140,74.628623,0.004571
150,72.041705,0.004898
160,69.699604,0.005224
170,67.565822,0.005551
180,65.611056,0.005877
190,63.811471,0.006204
200,62.147457,0.006530
210,60.602709,0.006857
220,59.163545,0.007183
230,57.818387,0.007510
240,56.557363,0.007836
250,55.371995,0.008163
260,54.254956,0.008489
270,53.199878,0.008816
280,52.201195,0.009142
290,51.254017,0.009469
300,50.354030,0.009795
310,49.497411,0.010122
320,48.680756,0.010448
330,47.901025,0.010775
340,47.155493,0.011101
350,46.441710,0.011428
360,45.757465,0.011754
370,45.100755,0.012081
380,44.469767,0.012407
390,43.862846,0.012734
400,43.278488,0.013060
410,42.715313,0.013387
420,42.172060,0.013713
430,41.647570,0.014040
440,41.140775,0.014366
450,40.650693,0.014693
460,40.176415,0.015020
470,39.717101,0.015346
480,39.271972,0.015673
490,38.840304,0.015999
500,38.421425,0.016326
510,38.014709,0.016652
520,37.619572,0.016979
530,37.235469,0.017305
540,36.861889,0.017632
550,36.498357,0.017958
560,36.144423,0.018285
570,35.799668,0.018611
580,35.463698,0.018938
590,35.136142,0.019264
600,34.816650,0.019591
610,34.504892,0.019917
620,34.200558,0.020244
630,33.903354,0.020570
640,33.613004,0.020897
650,33.329243,0.021223
660,33.051825,0.021550
670,32.780514,0.021876
680,32.515085,0.022203
690,32.255327,0.022529
700,32.001038,0.022856
710,31.752027,0.023182
720,31.508112,0.023509
730,31.269119,0.023835
740,31.034882,0.024162
750,30.805245,0.024488
760,30.580056,0.024815
770,30.359173,0.025141
780,30.142458,0.025468
790,29.929779,0.025794
800,29.721013,0.026121
810,29.516039,0.026447
820,29.314742,0.026774
830,29.117012,0.027100
840,28.922744,0.027427
850,28.731836,0.027753
860,28.544193,0.028080
870,28.359721,0.028406
880,28.178330,0.028733
890,27.999934,0.029059
900,27.824452,0.029386
910,27.651804,0.029713
920,27.481913,0.030039
930,27.314706,0.030366
940,27.150113,0.030692
950,26.988065,0.031019
960,26.828496,0.031345
970,26.671343,0.031672
980,26.516546,0.031998
990,26.364044,0.032325
